target0,target
brainstem,brainstem
inferior_cerebgm,hemiwm
hemiwm,caudalanteriorcingulate
whole_cerebellum,caudalmiddlefrontal
caudalanteriorcingulate,cuneus
caudalmiddlefrontal,entorhinal
cuneus,fusiform
entorhinal,inferiorparietal
fusiform,inferiortemporal
inferiorparietal,insula
inferiortemporal,isthmuscingulate
insula,lateraloccipital
isthmuscingulate,lateralorbitofrontal
lateraloccipital,lingual
lateralorbitofrontal,medialorbitofrontal
lingual,middletemporal
medialorbitofrontal,paracentral
middletemporal,parahippocampal
paracentral,parsopercularis
parahippocampal,parsorbitalis
parsopercularis,parstriangularis
parsorbitalis,pericalcarine
parstriangularis,postcentral
pericalcarine,posteriorcingulate
postcentral,precentral
posteriorcingulate,precuneus
precentral,rostralanteriorcingulate
precuneus,rostralmiddlefrontal
rostralanteriorcingulate,superiorfrontal
rostralmiddlefrontal,superiorparietal
superiorfrontal,superiortemporal
superiorparietal,supramarginal
superiortemporal,temporalpole
supramarginal,transversetemporal
temporalpole,amygdala
transversetemporal,caudate
amygdala,cerebellum_cortex
caudate,hippocampus
cerebellum_cortex,pallidum
hippocampus,putamen
pallidum,thalamus_proper
putamen,
thalamus_proper,
